TP_SUBSTANCIA,NU_LMR,DS_INGREDIENTE_ATIVO,ST_AUTORIZADO,NO_CULTURA,NO_UNIDADE_MEDIDA,DT_INICIO_VIGENCIA
quimico,6.0,mandipropamida,sim,couve-chinesa,miligrama/kilograma  ,04/13/2021 00:00:00
quimico,2.0,mandipropamida,sim,guaraná,miligrama/kilograma  ,04/13/2021 00:00:00
quimico,3.0,mandipropamida,sim,acelga,miligrama/kilograma  ,04/13/2021 00:00:00
quimico,3.0,mandipropamida,sim,goiaba,miligrama/kilograma  ,08/17/2022 00:00:00
quimico,2.0,mandipropamida,sim,pitaya,miligrama/kilograma  ,03/28/2025 00:00:00
quimico,6.0,mandipropamida,sim,abacate,miligrama/kilograma  ,06/09/2025 00:00:00
quimico,6.0,mandipropamida,sim,manga,miligrama/kilograma  ,06/09/2025 00:00:00
quimico,6.0,mandipropamida,sim,maracujá,miligrama/kilograma  ,06/09/2025 00:00:00
quimico,3.0,mandipropamida,sim,brócolis,miligrama/kilograma  ,05/15/2012 00:00:00
quimico,3.0,mandipropamida,sim,uva,miligrama/kilograma  ,08/17/2022 00:00:00
quimico,0.3,mandipropamida,sim,maxixe,miligrama/kilograma  ,04/13/2021 00:00:00
quimico,10.0,glifosato,sim,mamona,miligrama/kilograma  ,10/05/2022 00:00:00
quimico,0.1,glifosato,sim,dendê,miligrama/kilograma  ,07/12/2021 00:00:00
quimico,1.5,mancozebe,sim,chalota,miligrama/kilograma  ,03/08/2024 00:00:00
quimico,2.0,mandipropamida,sim,quiuí,miligrama/kilograma  ,04/13/2021 00:00:00
quimico,2.0,mandipropamida,sim,manga,miligrama/kilograma  ,04/13/2021 00:00:00
quimico,0.5,mandipropamida,sim,chalota,miligrama/kilograma  ,04/13/2021 00:00:00
quimico,3.0,mandipropamida,sim,alface,miligrama/kilograma  ,06/18/2008 00:00:00
quimico,0.01,mandipropamida,sim,batata,miligrama/kilograma  ,06/18/2008 00:00:00
quimico,0.5,mandipropamida,sim,cebola,miligrama/kilograma  ,06/18/2008 00:00:00
quimico,0.01,mandipropamida,sim,nabo,miligrama/kilograma  ,03/08/2024 00:00:00
quimico,6.0,mandipropamida,sim,acelga,miligrama/kilograma  ,03/28/2025 00:00:00
quimico,6.0,mandipropamida,sim,chicória,miligrama/kilograma  ,03/28/2025 00:00:00
quimico,6.0,mandipropamida,sim,cupuaçu,miligrama/kilograma  ,06/09/2025 00:00:00
quimico,6.0,mandipropamida,sim,noz-pecã,miligrama/kilograma  ,06/09/2025 00:00:00
quimico,6.0,mandipropamida,sim,pitaya,miligrama/kilograma  ,06/09/2025 00:00:00
quimico,0.3,mandipropamida,sim,abobrinha,miligrama/kilograma  ,05/15/2012 00:00:00
