NO_SUBSTANCIA;TP_SUBSTANCIA;NU_LMR;CO_MONOGRAFIA;DS_INGREDIENTE_ATIVO;NU_CAS;ST_AUTORIZADO;NO_CULTURA;TIPO_LIMITE;NO_VALOR_REFERENCIA;NO_UNIDADE_MEDIDA;DS_ATO_LEGAL;DT_INICIO_VIGENCIA;DT_FIM_VIGENCIA;DT_ATUALIZACAO
"Ciantraniliprole";"Quimico";0.1500000000;"C74";"Ciantraniliprole";"736994631";"SIM";"Goiaba";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"INSTRUÇÃO NORMATIVA - IN N° 214, DE 01 DE MARÇO DE 2023";"03/08/2023 00:00:00";;"09/24/2025 00:00:00"
"DELTAMETRINA";"Quimico";0.2000000000;"D06";"DELTAMETRINA";"52918635";"SIM";"Feijão";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003";"09/02/2003 00:00:00";"08/01/2023 00:00:00";"09/24/2025 00:00:00"
"CICLANILIPROLE";"Quimico";0.0400000000;"C81";"CICLANILIPROLE";"1031756985";"SIM";"Maçã";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"INSTRUÇÃO NORMATIVA - IN Nº 178, DE 15 DE AGOSTO DE 2022";"08/17/2022 00:00:00";;"09/24/2025 00:00:00"
"DIFLUBENZUROM";"Quimico";0.1500000000;"D17";"DIFLUBENZUROM";"35367385";"SIM";"Cenoura";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"INSTRUÇÃO NORMATIVA - IN Nº 237, DE 01 DE AGOSTO DE 2023";"08/02/2023 00:00:00";;"09/24/2025 00:00:00"
"DIUROM";"Quimico";0.1000000000;"D25";"DIUROM";"330541";"SIM";"Abacaxi";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003";"09/02/2003 00:00:00";;"09/24/2025 00:00:00"
"ISOPIRAZAM";"Quimico";0.2000000000;"I34";"ISOPIRAZAM";"881685581";"SIM";"Cevada";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"INSTRUÇÃO NORMATIVA - IN Nº 308, DE 7 DE AGOSTO DE 2024";"08/09/2024 00:00:00";;"09/24/2025 00:00:00"
"LUFENUROM";"Quimico";0.0100000000;"L05";"LUFENUROM";"103055078";"SIM";"Feijão";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO-RE N° 1.738, DE 30 DE JUNHO DE 2016";"07/04/2016 00:00:00";;"09/24/2025 00:00:00"
"LUFENUROM";"Quimico";0.0100000000;"L05";"LUFENUROM";"103055078";"SIM";"Mandioca";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO-RE Nº 3.123, DE 7 DE JULHO DE 2010";"07/12/2010 00:00:00";;"09/24/2025 00:00:00"
"Imazamoxi";"Quimico";0.1000000000;"I15";"Imazamoxi";"114311329";"SIM";"Girassol";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO-RE Nº 113, DE 13 DE JANEIRO DE 2017";"01/16/2017 00:00:00";;"09/24/2025 00:00:00"
"IMAZALIL";"Quimico";1.0000000000;"I19";"IMAZALIL";;"SIM";"Banana";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003";"09/02/2003 00:00:00";;"09/24/2025 00:00:00"
